Fecha	BM
4-01-10	123816
5-01-10	122306
6-01-10	122188
7-01-10	121899
8-01-10	121736
11-01-10	121325
12-01-10	122069
13-01-10	122912
14-01-10	122940
15-01-10	121778
18-01-10	120793
19-01-10	120006
20-01-10	120659
21-01-10	121273
22-01-10	121646
25-01-10	121688
26-01-10	120622
27-01-10	120629
28-01-10	120099
29-01-10	121318
1-02-10	123107
2-02-10	121087
3-02-10	120764
4-02-10	120468
5-02-10	120681
8-02-10	120585
9-02-10	120791
10-02-10	121937
11-02-10	122678
12-02-10	122210
15-02-10	121830
16-02-10	120648
17-02-10	118619
18-02-10	117847
19-02-10	116452
22-02-10	116093
23-02-10	115519
24-02-10	114498
25-02-10	115614
26-02-10	116460
1-03-10	120646
2-03-10	122206
3-03-10	123286
4-03-10	122707
5-03-10	121129
8-03-10	120550
9-03-10	120641
10-03-10	120410
11-03-10	121043
12-03-10	120724
15-03-10	119958
16-03-10	118816
17-03-10	117161
18-03-10	119284
19-03-10	118415
22-03-10	117385
23-03-10	118190
25-03-10	119576
26-03-10	121001
29-03-10	119857
30-03-10	120612
31-03-10	122612
5-04-10	124836
6-04-10	124089
7-04-10	122215
8-04-10	120951
9-04-10	120876
12-04-10	121591
13-04-10	122063
14-04-10	121491
15-04-10	120559
16-04-10	118401
19-04-10	118456
20-04-10	119168
21-04-10	119495
22-04-10	119627
23-04-10	120180
26-04-10	120096
27-04-10	117097
28-04-10	117897
29-04-10	116947
30-04-10	119478
3-05-10	121989
4-05-10	124060
5-05-10	124153
6-05-10	123018
7-05-10	124706
10-05-10	123596
11-05-10	123380
12-05-10	124450
13-05-10	124994
14-05-10	125277
17-05-10	124073
18-05-10	121813
19-05-10	122200
20-05-10	124399
21-05-10	124410
26-05-10	125306
27-05-10	123988
28-05-10	122064
31-05-10	121601
1-06-10	127409
2-06-10	126396
3-06-10	127552
4-06-10	127459
7-06-10	125246
8-06-10	124580
9-06-10	124522
10-06-10	125791
11-06-10	125531
14-06-10	125932
15-06-10	126464
16-06-10	126361
17-06-10	126830
18-06-10	124847
22-06-10	127610
23-06-10	128676
24-06-10	129694
25-06-10	128538
28-06-10	129559
29-06-10	128683
30-06-10	127163
1-07-10	132078
2-07-10	131411
5-07-10	133616
6-07-10	134274
7-07-10	134367
8-07-10	134340
12-07-10	134801
13-07-10	134047
14-07-10	135001
15-07-10	135639
16-07-10	135153
19-07-10	134967
20-07-10	133300
21-07-10	134355
22-07-10	134962
23-07-10	132982
26-07-10	132428
27-07-10	132930
28-07-10	132731
29-07-10	134436
30-07-10	134066
2-08-10	136004
3-08-10	136263
4-08-10	135782
5-08-10	134967
6-08-10	134618
9-08-10	134965
10-08-10	134806
11-08-10	134589
12-08-10	135937
13-08-10	135345
17-08-10	136327
18-08-10	134607
19-08-10	134431
20-08-10	135084
23-08-10	136560
24-08-10	137000
25-08-10	137489
26-08-10	137868
27-08-10	136502
30-08-10	133713
31-08-10	136232
1-09-10	138831
2-09-10	139096
3-09-10	138708
6-09-10	138503
7-09-10	138062
8-09-10	137252
9-09-10	138009
10-09-10	138576
13-09-10	138409
14-09-10	138665
15-09-10	137259
16-09-10	135877
17-09-10	135533
20-09-10	136364
21-09-10	136851
22-09-10	136618
23-09-10	137763
24-09-10	137517
27-09-10	138337
28-09-10	139012
29-09-10	140649
30-09-10	139804
1-10-10	141341
4-10-10	141780
5-10-10	143301
6-10-10	143420
7-10-10	144401
8-10-10	143455
12-10-10	143266
13-10-10	142257
14-10-10	142759
15-10-10	143099
18-10-10	142075
19-10-10	140368
20-10-10	140235
21-10-10	141599
22-10-10	142654
25-10-10	142128
26-10-10	139953
28-10-10	140818
29-10-10	140516
1-11-10	144901
2-11-10	144168
3-11-10	145154
4-11-10	144790
5-11-10	142595
8-11-10	143522
9-11-10	143288
10-11-10	143458
11-11-10	144552
12-11-10	145336
15-11-10	145236
16-11-10	143926
17-11-10	144117
18-11-10	144895
19-11-10	146593
23-11-10	148185
24-11-10	148780
25-11-10	149260
26-11-10	147300
29-11-10	146530
30-11-10	145515
1-12-10	154530
2-12-10	155127
3-12-10	154817
6-12-10	155009
7-12-10	155526
9-12-10	153634
10-12-10	154338
13-12-10	154798
14-12-10	154922
15-12-10	154487
16-12-10	155093
17-12-10	155536
20-12-10	156520
21-12-10	157046
22-12-10	157834
23-12-10	158723
27-12-10	158280
28-12-10	155544
29-12-10	155552
30-12-10	160408
31-12-10	160408
3-01-11	162878
4-01-11	164389
5-01-11	163500
6-01-11	163226
7-01-11	163083
10-01-11	163319
11-01-11	163705
12-01-11	164108
13-01-11	165039
14-01-11	165949
17-01-11	164835
18-01-11	163861
19-01-11	162926
20-01-11	163443
21-01-11	163534
24-01-11	163758
25-01-11	163718
26-01-11	161439
27-01-11	158851
28-01-11	158058
31-01-11	158605
1-02-11	160506
2-02-11	161986
3-02-11	161767
4-02-11	160936
7-02-11	162653
8-02-11	162591
9-02-11	163522
10-02-11	163688
11-02-11	163805
14-02-11	164339
15-02-11	163994
16-02-11	162977
17-02-11	163361
18-02-11	162082
21-02-11	162223
22-02-11	163347
23-02-11	160319
24-02-11	161919
25-02-11	162992
28-02-11	160387
1-03-11	164681
2-03-11	165898
3-03-11	167221
4-03-11	166922
9-03-11	167692
10-03-11	166721
11-03-11	166529
14-03-11	166933
15-03-11	166650
16-03-11	164019
17-03-11	164935
18-03-11	163115
21-03-11	162938
22-03-11	163542
23-03-11	162240
28-03-11	163560
29-03-11	161559
30-03-11	157399
31-03-11	159290
1-04-11	166154
4-04-11	166516
5-04-11	167556
6-04-11	167586
7-04-11	166996
8-04-11	166395
11-04-11	168636
12-04-11	168438
13-04-11	168356
14-04-11	170120
15-04-11	169251
18-04-11	168836
19-04-11	168521
20-04-11	169052
25-04-11	167566
26-04-11	167267
27-04-11	166899
28-04-11	166633
29-04-11	167293
2-05-11	170410
3-05-11	171247
4-05-11	171730
5-05-11	170424
6-05-11	169195
9-05-11	169953
10-05-11	168656
11-05-11	169476
12-05-11	170770
13-05-11	172316
16-05-11	173387
17-05-11	172957
18-05-11	172774
19-05-11	173495
20-05-11	172355
23-05-11	172747
24-05-11	173716
26-05-11	173387
27-05-11	172064
30-05-11	169422
31-05-11	172685
1-06-11	177940
2-06-11	177483
3-06-11	178039
6-06-11	177971
7-06-11	177765
8-06-11	176503
9-06-11	176248
10-06-11	177375
13-06-11	178100
14-06-11	177870
15-06-11	179222
16-06-11	176578
17-06-11	177019
21-06-11	177517
22-06-11	177655
23-06-11	177671
24-06-11	175004
27-06-11	175338
28-06-11	174799
29-06-11	173245
30-06-11	176684
1-07-11	182888
4-07-11	181999
5-07-11	181579
6-07-11	184298
7-07-11	183921
8-07-11	183846
11-07-11	187520
12-07-11	187753
13-07-11	190218
14-07-11	191288
15-07-11	189102
18-07-11	188953
19-07-11	188715
20-07-11	188322
21-07-11	187595
22-07-11	186501
25-07-11	186414
26-07-11	185209
27-07-11	186328
28-07-11	184611
29-07-11	185011
1-08-11	192833
2-08-11	193012
3-08-11	192859
4-08-11	191672
5-08-11	190143
8-08-11	190427
9-08-11	190311
10-08-11	190267
11-08-11	191392
12-08-11	190486
15-08-11	190973
16-08-11	187942
17-08-11	187901
18-08-11	187819
19-08-11	189140
23-08-11	190072
24-08-11	187390
25-08-11	185842
26-08-11	184973
29-08-11	184368
30-08-11	183901
31-08-11	185824
1-09-11	192121
2-09-11	194010
5-09-11	194420
