   Fecha	            BM
   04-01-2010   	    123.817.000,00000000000  
   05-01-2010   	    122.306.000,00000000000  
   06-01-2010   	    122.188.000,00000000000  
   07-01-2010   	    121.899.000,00000000000  
   08-01-2010   	    121.735.000,00000000000  
   11-01-2010   	    121.325.000,00000000000  
   12-01-2010   	    122.068.000,00000000000  
   13-01-2010   	    122.912.000,00000000000  
   14-01-2010   	    122.940.000,00000000000  
   15-01-2010   	    121.778.000,00000000000  
   18-01-2010   	    120.793.000,00000000000  
   19-01-2010   	    120.006.000,00000000000  
   20-01-2010   	    120.659.000,00000000000  
   21-01-2010   	    121.273.000,00000000000  
   22-01-2010   	    121.646.000,00000000000  
   25-01-2010   	    121.688.000,00000000000  
   26-01-2010   	    120.622.000,00000000000  
   27-01-2010   	    120.629.000,00000000000  
   28-01-2010   	    120.099.000,00000000000  
   29-01-2010   	    121.318.000,00000000000  
   01-02-2010   	    123.107.000,00000000000  
   02-02-2010   	    121.087.000,00000000000  
   03-02-2010   	    120.764.000,00000000000  
   04-02-2010   	    120.468.000,00000000000  
   05-02-2010   	    120.681.000,00000000000  
   08-02-2010   	    120.585.000,00000000000  
   09-02-2010   	    120.791.000,00000000000  
   10-02-2010   	    121.937.000,00000000000  
   11-02-2010   	    122.678.000,00000000000  
   12-02-2010   	    122.210.000,00000000000  
   15-02-2010   	    121.830.000,00000000000  
   16-02-2010   	    120.649.000,00000000000  
   17-02-2010   	    118.619.000,00000000000  
   18-02-2010   	    117.847.000,00000000000  
   19-02-2010   	    116.452.000,00000000000  
   22-02-2010   	    116.093.000,00000000000  
   23-02-2010   	    115.518.000,00000000000  
   24-02-2010   	    114.498.000,00000000000  
   25-02-2010   	    115.614.000,00000000000  
   26-02-2010   	    116.460.000,00000000000  
   01-03-2010   	    120.646.000,00000000000  
   02-03-2010   	    122.206.000,00000000000  
   03-03-2010   	    123.285.000,00000000000  
   04-03-2010   	    122.707.000,00000000000  
   05-03-2010   	    121.129.000,00000000000  
   08-03-2010   	    120.550.000,00000000000  
   09-03-2010   	    120.641.000,00000000000  
   10-03-2010   	    120.410.000,00000000000  
   11-03-2010   	    121.043.000,00000000000  
   12-03-2010   	    120.724.000,00000000000  
   15-03-2010   	    119.958.000,00000000000  
   16-03-2010   	    118.816.000,00000000000  
   17-03-2010   	    117.162.000,00000000000  
   18-03-2010   	    119.284.000,00000000000  
   19-03-2010   	    118.415.000,00000000000  
   22-03-2010   	    117.386.000,00000000000  
   23-03-2010   	    118.190.000,00000000000  
   25-03-2010   	    119.576.000,00000000000  
   26-03-2010   	    121.001.000,00000000000  
   29-03-2010   	    119.858.000,00000000000  
   30-03-2010   	    120.612.000,00000000000  
   31-03-2010   	    122.613.000,00000000000  
   05-04-2010   	    124.836.000,00000000000  
   06-04-2010   	    124.089.000,00000000000  
