Fecha   	Ccl	
14-10-2020	163,77
13-10-2020	156,27
12-10-2020	154,95
11-10-2020	154,95
10-10-2020	154,95
09-10-2020	154,95
08-10-2020	153,28
07-10-2020	150,39
06-10-2020	152,51
05-10-2020	149,55
04-10-2020	145,75
03-10-2020	145,75
02-10-2020	145,75
01-10-2020	145,89
30-09-2020	145,65
29-09-2020	148,50
28-09-2020	143,37
27-09-2020	143,54
26-09-2020	143,54
25-09-2020	143,54
24-09-2020	140,98
23-09-2020	148,65
22-09-2020	147,52
21-09-2020	139,84
20-09-2020	137,30
19-09-2020	137,30
18-09-2020	137,30
17-09-2020	132,40
16-09-2020	131,90
15-09-2020	128,29
14-09-2020	130,30
13-09-2020	126,36
12-09-2020	126,36
11-09-2020	126,36
10-09-2020	120,91
09-09-2020	120,22
08-09-2020	119,32
07-09-2020	125,88
06-09-2020	128,49
05-09-2020	128,49
04-09-2020	128,49
03-09-2020	123,81
02-09-2020	129,51
01-09-2020	130,78
31-08-2020	125,79
30-08-2020	125,84
29-08-2020	125,84
28-08-2020	125,84
27-08-2020	125,57
26-08-2020	128,42
25-08-2020	130,54
24-08-2020	132,95
23-08-2020	135,00
22-08-2020	135,00
21-08-2020	135,00
20-08-2020	132,94
19-08-2020	131,40
18-08-2020	129,06
17-08-2020	126,80
16-08-2020	126,80
15-08-2020	126,80
14-08-2020	126,80
13-08-2020	130,22
12-08-2020	130,05
11-08-2020	127,77
10-08-2020	128,35
09-08-2020	126,56
08-08-2020	126,56
07-08-2020	126,56
06-08-2020	123,53
05-08-2020	119,46
04-08-2020	119,18
03-08-2020	122,00
02-08-2020	124,10
01-08-2020	124,10
31-07-2020	124,10
30-07-2020	121,41
29-07-2020	118,26
28-07-2020	118,48
27-07-2020	117,98
26-07-2020	117,48
25-07-2020	117,48
24-07-2020	117,48
23-07-2020	114,39
22-07-2020	116,91
21-07-2020	118,89
20-07-2020	119,20
19-07-2020	117,86
18-07-2020	117,86
17-07-2020	117,86
16-07-2020	113,62
15-07-2020	113,37
14-07-2020	113,06
13-07-2020	111,73
12-07-2020	109,12
11-07-2020	109,12
10-07-2020	109,12
09-07-2020	109,12
08-07-2020	109,12
07-07-2020	109,48
06-07-2020	108,11
05-07-2020	108,55
04-07-2020	108,55
03-07-2020	108,55
02-07-2020	109,73
01-07-2020	108,10
30-06-2020	104,14
29-06-2020	104,07
28-06-2020	105,70
27-06-2020	105,70
26-06-2020	105,70
25-06-2020	106,10
24-06-2020	108,03
23-06-2020	108,58
22-06-2020	105,49
21-06-2020	110,00
20-06-2020	110,00
19-06-2020	110,00
18-06-2020	109,81
17-06-2020	107,68
16-06-2020	109,12
15-06-2020	109,27
14-06-2020	109,27
13-06-2020	109,27
12-06-2020	109,27
11-06-2020	112,27
10-06-2020	114,40
09-06-2020	116,08
08-06-2020	116,37
07-06-2020	115,34
06-06-2020	115,34
05-06-2020	115,34
04-06-2020	114,41
03-06-2020	114,71
02-06-2020	114,05
01-06-2020	114,08
31-05-2020	113,42
30-05-2020	113,42
29-05-2020	113,42
28-05-2020	112,69
27-05-2020	109,84
26-05-2020	110,64
25-05-2020	113,92
24-05-2020	113,92
23-05-2020	113,92
22-05-2020	113,92
21-05-2020	117,42
20-05-2020	119,51
19-05-2020	118,38
18-05-2020	118,78
17-05-2020	121,32
16-05-2020	121,32
15-05-2020	121,32
14-05-2020	122,83
13-05-2020	125,76
12-05-2020	121,96
11-05-2020	118,53
10-05-2020	115,35
09-05-2020	115,35
08-05-2020	115,35
07-05-2020	117,81
06-05-2020	118,43
05-05-2020	119,91
04-05-2020	112,56
03-05-2020	114,65
02-05-2020	114,65
01-05-2020	114,65
30-04-2020	114,65
29-04-2020	109,76
28-04-2020	119,64
27-04-2020	115,09
26-04-2020	112,02
25-04-2020	112,02
24-04-2020	112,02
23-04-2020	111,57
22-04-2020	111,11
21-04-2020	109,56
20-04-2020	105,27
19-04-2020	102,64
18-04-2020	102,64
17-04-2020	102,64
16-04-2020	102,10
15-04-2020	108,79
14-04-2020	107,42
13-04-2020	102,21
12-04-2020	94,69
11-04-2020	94,69
10-04-2020	94,69
09-04-2020	94,69
08-04-2020	94,69
07-04-2020	90,44
06-04-2020	90,78
05-04-2020	89,09
04-04-2020	89,09
03-04-2020	89,09
02-04-2020	88,81
01-04-2020	87,92
31-03-2020	86,92
30-03-2020	86,92
29-03-2020	86,49
28-03-2020	86,49
27-03-2020	86,49
26-03-2020	84,36
25-03-2020	87,99
24-03-2020	91,60
23-03-2020	91,60
22-03-2020	91,60
21-03-2020	91,60
20-03-2020	89,93
19-03-2020	89,53
18-03-2020	88,19
17-03-2020	89,31
16-03-2020	89,15
13-03-2020	89,04
