Fecha   	MEP	
14-10-2020	150,28
13-10-2020	144,95
12-10-2020	143,42
11-10-2020	143,42
10-10-2020	143,42
09-10-2020	143,42
08-10-2020	140,94
07-10-2020	138,97
06-10-2020	140,16
05-10-2020	140,79
04-10-2020	138,15
03-10-2020	138,15
02-10-2020	138,15
01-10-2020	139,04
30-09-2020	138,79
29-09-2020	138,80
28-09-2020	137,31
27-09-2020	135,29
26-09-2020	135,29
25-09-2020	135,29
24-09-2020	130,87
23-09-2020	134,69
22-09-2020	134,39
21-09-2020	130,98
20-09-2020	129,72
19-09-2020	129,72
18-09-2020	129,72
17-09-2020	126,33
16-09-2020	127,61
15-09-2020	122,06
14-09-2020	123,21
13-09-2020	125,17
12-09-2020	125,17
11-09-2020	125,17
10-09-2020	123,41
09-09-2020	119,67
08-09-2020	116,41
07-09-2020	117,84
06-09-2020	120,00
05-09-2020	120,00
04-09-2020	120,00
03-09-2020	119,51
02-09-2020	119,72
01-09-2020	117,64
31-08-2020	121,57
30-08-2020	121,73
29-08-2020	121,73
28-08-2020	121,73
27-08-2020	122,29
26-08-2020	125,16
25-08-2020	127,69
24-08-2020	130,33
23-08-2020	129,52
22-08-2020	129,52
21-08-2020	129,52
20-08-2020	129,42
19-08-2020	127,61
18-08-2020	125,69
17-08-2020	124,22
16-08-2020	124,22
15-08-2020	124,22
14-08-2020	124,22
13-08-2020	125,30
12-08-2020	125,73
11-08-2020	124,53
10-08-2020	125,84
09-08-2020	124,65
08-08-2020	124,65
07-08-2020	124,65
06-08-2020	121,68
05-08-2020	117,17
04-08-2020	116,28
03-08-2020	122,00
02-08-2020	122,21
01-08-2020	122,21
31-07-2020	122,21
30-07-2020	119,54
29-07-2020	116,72
28-07-2020	115,89
27-07-2020	115,67
26-07-2020	114,57
25-07-2020	114,57
24-07-2020	114,57
23-07-2020	111,78
22-07-2020	114,45
21-07-2020	116,07
20-07-2020	117,57
19-07-2020	115,39
18-07-2020	115,39
17-07-2020	115,39
16-07-2020	112,00
15-07-2020	112,02
14-07-2020	110,97
13-07-2020	109,73
12-07-2020	108,98
11-07-2020	108,98
10-07-2020	108,98
09-07-2020	108,98
08-07-2020	108,98
07-07-2020	108,58
06-07-2020	106,70
05-07-2020	105,79
04-07-2020	105,79
03-07-2020	105,79
02-07-2020	107,24
01-07-2020	105,50
30-06-2020	100,53
29-06-2020	100,39
28-06-2020	102,47
27-06-2020	102,47
26-06-2020	102,47
25-06-2020	104,21
24-06-2020	107,30
23-06-2020	107,67
22-06-2020	108,12
21-06-2020	109,53
20-06-2020	109,53
19-06-2020	109,53
18-06-2020	107,10
17-06-2020	104,96
16-06-2020	105,31
15-06-2020	106,59
14-06-2020	106,59
13-06-2020	106,59
12-06-2020	106,59
11-06-2020	107,49
10-06-2020	108,07
09-06-2020	108,73
08-06-2020	110,00
07-06-2020	109,86
06-06-2020	109,86
05-06-2020	109,86
04-06-2020	108,27
03-06-2020	107,91
02-06-2020	106,39
01-06-2020	108,77
31-05-2020	107,71
30-05-2020	107,71
29-05-2020	107,71
28-05-2020	109,41
27-05-2020	105,56
26-05-2020	106,32
25-05-2020	109,53
24-05-2020	109,53
23-05-2020	109,53
22-05-2020	109,53
21-05-2020	114,37
20-05-2020	114,84
19-05-2020	114,22
18-05-2020	115,54
17-05-2020	117,95
16-05-2020	117,95
15-05-2020	117,95
14-05-2020	119,36
13-05-2020	122,77
12-05-2020	119,31
11-05-2020	115,98
10-05-2020	112,98
09-05-2020	112,98
08-05-2020	112,98
07-05-2020	115,77
06-05-2020	115,88
05-05-2020	117,08
04-05-2020	110,19
03-05-2020	112,31
02-05-2020	112,31
01-05-2020	112,31
30-04-2020	112,31
29-04-2020	108,87
28-04-2020	116,95
27-04-2020	112,92
26-04-2020	108,35
25-04-2020	108,35
24-04-2020	108,35
23-04-2020	110,05
22-04-2020	109,18
21-04-2020	108,43
20-04-2020	104,23
19-04-2020	99,84
18-04-2020	99,84
17-04-2020	99,84
16-04-2020	103,37
15-04-2020	108,32
14-04-2020	106,26
13-04-2020	101,09
12-04-2020	94,27
11-04-2020	94,27
10-04-2020	94,27
09-04-2020	94,27
08-04-2020	94,27
07-04-2020	90,44
06-04-2020	89,57
05-04-2020	88,42
04-04-2020	88,42
03-04-2020	88,42
02-04-2020	87,78
01-04-2020	87,88
31-03-2020	85,96
30-03-2020	85,96
29-03-2020	85,42
28-03-2020	85,42
27-03-2020	85,42
26-03-2020	83,20
25-03-2020	86,79
24-03-2020	91,40
23-03-2020	91,40
22-03-2020	91,40
