Fecha   	Venta	Oficial
14-10-2020	76,95	82,95
13-10-2020	76,92	82,92
09-10-2020	76,74	82,74
08-10-2020	76,79	82,79
07-10-2020	76,72	82,72
06-10-2020	76,72	82,72
05-10-2020	76,64	82,64
02-10-2020	76,44	82,44
01-10-2020	75,80	80,80
30-09-2020	75,62	80,62
29-09-2020	75,24	80,24
28-09-2020	75,15	80,15
25-09-2020	75,05	80,05
24-09-2020	74,99	79,99
23-09-2020	74,89	79,89
22-09-2020	74,86	79,86
21-09-2020	74,71	79,71
18-09-2020	74,59	79,59
17-09-2020	74,59	79,59
16-09-2020	74,55	79,55
15-09-2020	74,36	79,36
14-09-2020	74,24	79,24
11-09-2020	74,16	79,16
10-09-2020	74,07	79,07
09-09-2020	74,05	79,05
08-09-2020	74,03	79,03
07-09-2020	73,94	78,94
04-09-2020	73,64	78,64
03-09-2020	73,63	78,63
02-09-2020	73,63	78,63
01-09-2020	73,50	78,50
31-08-2020	73,36	78,36
28-08-2020	73,18	78,18
27-08-2020	73,13	78,13
26-08-2020	72,95	77,95
25-08-2020	72,94	77,94
24-08-2020	72,92	77,92
21-08-2020	72,80	77,80
20-08-2020	72,77	77,77
19-08-2020	72,70	77,70
18-08-2020	72,54	77,54
14-08-2020	72,39	77,39
13-08-2020	72,42	77,42
12-08-2020	72,32	77,32
11-08-2020	72,17	77,17
10-08-2020	72,13	77,13
07-08-2020	71,91	76,91
06-08-2020	71,89	76,89
05-08-2020	71,89	76,89
04-08-2020	71,69	76,69
03-08-2020	71,64	76,64
31-07-2020	71,39	76,39
30-07-2020	71,27	76,27
29-07-2020	71,08	76,08
28-07-2020	71,10	76,10
27-07-2020	71,00	76,00
24-07-2020	70,92	75,92
24-07-2020	70,86	75,86
23-07-2020	70,86	75,86
22-07-2020	70,66	75,66
21-07-2020	70,64	75,64
20-07-2020	70,56	75,56
17-07-2020	70,25	75,25
16-07-2020	70,21	75,21
15-07-2020	70,21	75,21
14-07-2020	70,09	75,09
13-07-2020	69,99	74,99
08-07-2020	69,71	74,71
07-07-2020	69,64	74,64
06-07-2020	69,61	74,61
03-07-2020	69,32	74,32
02-07-2020	69,18	74,18
01-07-2020	69,13	74,13
30-06-2020	69,07	74,07
29-06-2020	68,86	73,86
26-06-2020	68,56	73,56
25-06-2020	68,53	73,53
24-06-2020	68,51	73,51
23-06-2020	68,44	73,44
22-06-2020	68,13	73,13
19-06-2020	68,08	73,08
18-06-2020	67,98	72,98
17-06-2020	67,86	72,86
16-06-2020	67,68	72,68
