Fecha   	Turista	
14-10-2020	136,87
13-10-2020	136,82
09-10-2020	136,49
08-10-2020	136,49
07-10-2020	136,49
06-10-2020	136,49
05-10-2020	136,36
02-10-2020	136,03
01-10-2020	133,32
30-09-2020	133,02
29-09-2020	132,40
28-09-2020	132,25
25-09-2020	132,08
24-09-2020	131,98
23-09-2020	131,82
22-09-2020	131,77
21-09-2020	131,52
18-09-2020	131,32
17-09-2020	131,32
16-09-2020	131,26
15-09-2020	103,17
14-09-2020	103,01
11-09-2020	102,91
10-09-2020	102,79
09-09-2020	102,77
08-09-2020	102,74
07-09-2020	102,62
04-09-2020	102,23
03-09-2020	102,22
02-09-2020	102,22
01-09-2020	102,05
31-08-2020	101,87
28-08-2020	101,63
27-08-2020	101,57
26-08-2020	101,34
25-08-2020	101,32
24-08-2020	101,30
21-08-2020	101,14
20-08-2020	101,10
19-08-2020	101,01
18-08-2020	100,80
14-08-2020	100,61
13-08-2020	100,65
12-08-2020	100,52
11-08-2020	100,32
10-08-2020	100,27
07-08-2020	99,98
06-08-2020	99,96
05-08-2020	99,96
04-08-2020	99,70
03-08-2020	99,63
31-07-2020	99,31
30-07-2020	99,15
29-07-2020	98,90
28-07-2020	98,93
27-07-2020	98,80
24-07-2020	98,70
23-07-2020	98,62
22-07-2020	98,36
21-07-2020	98,33
20-07-2020	98,23
17-07-2020	97,83
16-07-2020	97,77
15-07-2020	97,77
14-07-2020	97,62
13-07-2020	97,49
08-07-2020	97,12
07-07-2020	97,03
06-07-2020	96,99
03-07-2020	96,62
02-07-2020	96,43
01-07-2020	96,37
30-06-2020	96,29
29-06-2020	96,02
26-06-2020	95,63
25-06-2020	95,59
24-06-2020	95,56
23-06-2020	95,47
22-06-2020	95,07
19-06-2020	95,00
18-06-2020	94,87
17-06-2020	94,72
16-06-2020	94,48
12-06-2020	94,25
11-06-2020	94,04
10-06-2020	93,85
09-06-2020	93,65
08-06-2020	93,44
05-06-2020	92,92
04-06-2020	92,50
03-06-2020	92,20
02-06-2020	92,31
01-06-2020	91,94
29-05-2020	91,99
28-05-2020	91,90
27-05-2020	91,82
26-05-2020	91,79
22-05-2020	91,75
21-05-2020	91,49
20-05-2020	91,43
19-05-2020	91,42
18-05-2020	91,34
15-05-2020	91,08
14-05-2020	91,07
13-05-2020	90,79
12-05-2020	90,56
11-05-2020	90,52
08-05-2020	90,52
07-05-2020	90,40
06-05-2020	90,30
05-05-2020	90,10
04-05-2020	89,91
30-04-2020	89,91
29-04-2020	89,79
28-04-2020	89,66
27-04-2020	89,56
24-04-2020	89,30
23-04-2020	88,97
22-04-2020	88,96
21-04-2020	88,84
20-04-2020	88,35
17-04-2020	88,35
16-04-2020	88,23
15-04-2020	87,88
14-04-2020	87,79
13-04-2020	87,66
08-04-2020	87,19
07-04-2020	87,22
06-04-2020	87,07
03-04-2020	86,91
02-04-2020	86,46
01-04-2020	86,59
30-03-2020	86,55
27-03-2020	86,37
26-03-2020	85,97
25-03-2020	85,61
20-03-2020	85,68
19-03-2020	85,27
18-03-2020	85,10
17-03-2020	84,45
16-03-2020	84,62
13-03-2020	84,57
12-03-2020	84,53
11-03-2020	84,16
10-03-2020	84,14
09-03-2020	84,12
06-03-2020	84,12
05-03-2020	83,73
04-03-2020	83,89
03-03-2020	83,86
02-03-2020	83,71
28-02-2020	83,54
27-02-2020	83,24
26-02-2020	83,32
21-02-2020	83,19
20-02-2020	83,02
19-02-2020	82,82
18-02-2020	83,19
17-02-2020	82,91
14-02-2020	82,85
13-02-2020	82,76
12-02-2020	82,71
11-02-2020	82,50
10-02-2020	82,30
07-02-2020	81,97
06-02-2020	81,91
05-02-2020	82,03
04-02-2020	81,99
03-02-2020	81,97
31-01-2020	81,94
30-01-2020	81,86
29-01-2020	81,86
28-01-2020	81,99
27-01-2020	81,86
24-01-2020	81,87
23-01-2020	81,87
22-01-2020	81,87
21-01-2020	81,87
20-01-2020	81,86
17-01-2020	81,86
16-01-2020	81,86
15-01-2020	81,87
14-01-2020	81,86
13-01-2020	81,85
10-01-2020	81,85
09-01-2020	81,87
08-01-2020	81,89
07-01-2020	81,89
06-01-2020	81,89
03-01-2020	81,87
02-01-2020	81,90
30-12-2019	81,89
27-12-2019	81,89
26-12-2019	81,89
23-12-2019	81,90
