   Fecha	            Reservas
   04-01-2010   	    48.068.000,00000000000  
   05-01-2010   	    47.974.000,00000000000  
   06-01-2010   	    48.092.000,00000000000  
   07-01-2010   	    48.100.000,00000000000  
   08-01-2010   	    48.085.000,00000000000  
   11-01-2010   	    48.192.000,00000000000  
   12-01-2010   	    48.146.000,00000000000  
   13-01-2010   	    48.140.000,00000000000  
   14-01-2010   	    48.303.000,00000000000  
   15-01-2010   	    48.015.000,00000000000  
   18-01-2010   	    48.108.000,00000000000  
   19-01-2010   	    48.141.000,00000000000  
   20-01-2010   	    48.067.000,00000000000  
   21-01-2010   	    48.114.000,00000000000  
   22-01-2010   	    48.277.000,00000000000  
   25-01-2010   	    48.317.000,00000000000  
   26-01-2010   	    48.201.000,00000000000  
   27-01-2010   	    48.161.000,00000000000  
   28-01-2010   	    48.064.000,00000000000  
   29-01-2010   	    48.129.000,00000000000  
   01-02-2010   	    48.059.000,00000000000  
   02-02-2010   	    48.031.000,00000000000  
   03-02-2010   	    48.154.000,00000000000  
   04-02-2010   	    47.987.000,00000000000  
   05-02-2010   	    48.051.000,00000000000  
   08-02-2010   	    47.892.000,00000000000  
   09-02-2010   	    48.034.000,00000000000  
   10-02-2010   	    48.062.000,00000000000  
   11-02-2010   	    48.034.000,00000000000  
   12-02-2010   	    48.037.000,00000000000  
   15-02-2010   	    48.048.000,00000000000  
   16-02-2010   	    48.016.000,00000000000  
   17-02-2010   	    48.019.000,00000000000  
   18-02-2010   	    47.939.000,00000000000  
   19-02-2010   	    47.951.000,00000000000  
   22-02-2010   	    47.905.000,00000000000  
   23-02-2010   	    47.801.000,00000000000  
   24-02-2010   	    47.773.000,00000000000  
   25-02-2010   	    47.698.000,00000000000  
   26-02-2010   	    47.758.000,00000000000  
   01-03-2010   	    47.716.000,00000000000  
   02-03-2010   	    47.714.000,00000000000  
   03-03-2010   	    47.699.000,00000000000  
   04-03-2010   	    47.727.000,00000000000  
   05-03-2010   	    47.709.000,00000000000  
   08-03-2010   	    47.659.000,00000000000  
   09-03-2010   	    47.670.000,00000000000  
   10-03-2010   	    47.632.000,00000000000  
   11-03-2010   	    47.727.000,00000000000  
   12-03-2010   	    47.834.000,00000000000  
   15-03-2010   	    47.753.000,00000000000  
   16-03-2010   	    47.835.000,00000000000  
   17-03-2010   	    47.837.000,00000000000  
   18-03-2010   	    47.823.000,00000000000  
   19-03-2010   	    47.661.000,00000000000  
   22-03-2010   	    47.612.000,00000000000  
   23-03-2010   	    47.602.000,00000000000  
   25-03-2010   	    47.589.000,00000000000  
   26-03-2010   	    47.622.000,00000000000  
   29-03-2010   	    47.589.000,00000000000  
   30-03-2010   	    47.415.000,00000000000  
   31-03-2010   	    47.460.000,00000000000  
   05-04-2010   	    47.472.000,00000000000  
   06-04-2010   	    47.975.000,00000000000  
